regions;Unit;Date;Value;Value.1;Couverture;structure(Norme OMS)
Dakar;;2020;;14;255314;16
Dakar;;2021;;15;253291;17
Dakar;;2022;;15;250875;17
Dakar;;2023;;16;250827;18
Dakar;;2024;;16;250766;18
Dakar;;2025;;17;250522;19
Dakar;;2026;;17;250450;19
Dakar;;2027;;18;250450;20
Dakar;;2028;;18;250290;20
Dakar;;2029;;19;249932;21
Dakar;;2030;;20;249922;22
Diourbel;;2020;;4;304394;6
Diourbel;;2021;;4;310018;6
Diourbel;;2022;;4;316541;6
Diourbel;;2023;;4;302484;6
Diourbel;;2024;;4;287183;6
Diourbel;;2025;;5;270388;7
Diourbel;;2026;;5;252409;7
Diourbel;;2027;;5;231461;7
Diourbel;;2028;;5;208324;6
Diourbel;;2029;;5;182887;6
Diourbel;;2030;;6;152396;7
Fatick;;2020;;2;618378;6
Fatick;;2021;;2;639653;6
Fatick;;2022;;2;637431;6
Fatick;;2023;;2;635289;6
Fatick;;2024;;2;630346;6
Fatick;;2025;;2;657350;6
Fatick;;2026;;2;685464;7
Fatick;;2027;;3;683490;8
Fatick;;2028;;3;679421;8
Fatick;;2029;;3;673793;7
Fatick;;2030;;3;665145;7
Kédougou;;2020;;1;79995;2
Kédougou;;2021;;1;77867;2
Kédougou;;2022;;1;75388;2
Kédougou;;2023;;1;72025;1
Kédougou;;2024;;1;67186;1
Kédougou;;2025;;1;69639;1
Kédougou;;2026;;1;72307;1
Kédougou;;2027;;1;75204;2
Kédougou;;2028;;1;78311;2
Kédougou;;2029;;1;81358;2
Kédougou;;2030;;2;84490;3
Louga;;2020;;3;525147;7
Louga;;2021;;3;523973;6
Louga;;2022;;3;521503;6
Louga;;2023;;3;517198;6
Louga;;2024;;3;523096;6
Louga;;2025;;3;529009;7
Louga;;2026;;4;534828;8
Louga;;2027;;4;540242;8
Louga;;2028;;4;545537;8
Louga;;2029;;4;550169;8
Louga;;2030;;4;554780;8
Matam;;2020;;2;111410;3
Matam;;2021;;2;110713;3
Matam;;2022;;3;109609;4
Matam;;2023;;3;108106;4
Matam;;2024;;3;106262;4
Matam;;2025;;3;104057;4
Matam;;2026;;3;100866;4
Matam;;2027;;3;101324;4
Matam;;2028;;3;101714;4
Matam;;2029;;4;101950;5
Matam;;2030;;4;102088;5
Saint-Louis;;2020;;4;320939;6
Saint-Louis;;2021;;4;316914;6
Saint-Louis;;2022;;4;311185;6
Saint-Louis;;2023;;4;312180;6
Saint-Louis;;2024;;4;313137;6
Saint-Louis;;2025;;4;313905;6
Saint-Louis;;2026;;5;314499;7
Saint-Louis;;2027;;5;314712;7
Saint-Louis;;2028;;5;314685;7
Saint-Louis;;2029;;5;314392;7
Saint-Louis;;2030;;5;313774;7
Sédhiou;;2020;;1;371729;3
Sédhiou;;2021;;1;384247;4
Sédhiou;;2022;;1;399283;4
Sédhiou;;2023;;1;398466;4
Sédhiou;;2024;;1;396719;4
Sédhiou;;2025;;1;394266;4
Sédhiou;;2026;;1;391463;4
Sédhiou;;2027;;1;387086;4
Sédhiou;;2028;;1;381661;4
Sédhiou;;2029;;1;375135;4
Sédhiou;;2030;;1;366378;3
Tambacounda;;2020;;2;611826;6
Tambacounda;;2021;;2;616619;6
Tambacounda;;2022;;2;622388;6
Tambacounda;;2023;;2;628089;6
Tambacounda;;2024;;2;633355;6
Tambacounda;;2025;;2;638159;6
Tambacounda;;2026;;2;642451;6
Tambacounda;;2027;;2;644560;6
Tambacounda;;2028;;2;645682;6
Tambacounda;;2029;;2;645439;6
Tambacounda;;2030;;2;642692;6
Thiès;;2020;;4;122503;5
Thiès;;2021;;4;117154;5
Thiès;;2022;;4;116148;5
Thiès;;2023;;4;116814;5
Thiès;;2024;;4;117380;5
Thiès;;2025;;4;115737;5
Thiès;;2026;;4;113816;5
Thiès;;2027;;4;111399;5
Thiès;;2028;;4;108652;5
Thiès;;2029;;4;105664;5
Thiès;;2030;;4;102478;5
Ziguinchor;;2020;;2;566249;6
Ziguinchor;;2021;;2;552397;6
Ziguinchor;;2022;;2;555176;6
Ziguinchor;;2023;;2;557098;6
Ziguinchor;;2024;;3;539888;7
Ziguinchor;;2025;;3;520689;6
Ziguinchor;;2026;;3;496235;6
Ziguinchor;;2027;;3;496486;6
Ziguinchor;;2028;;3;496435;6
Ziguinchor;;2029;;3;495858;6
Ziguinchor;;2030;;3;495031;6
Kaffrine;;2021;;1;310019;3
Kaffrine;;2022;;1;316541;3
Kaffrine;;2023;;2;302484;4
Kaffrine;;2024;;2;287183;4
Kaffrine;;2025;867458,16;2;270389;4
Kaffrine;;2026;883019,0692;2;252410;4
Kaffrine;;2027;897162,5053;2;231461;4
Kaffrine;;2028;909463,1961;2;208325;3
Kaffrine;;2029;919480,5399;2;182887;3
Kaffrine;;2030;926863,7967;2;152397;3
Kaolack;;2020;;2;564094;6
Kaolack;;2021;;2;564506;6
Kaolack;;2022;;2;565057;6
Kaolack;;2023;;2;565633;6
Kaolack;;2024;;2;566018;6
Kaolack;;2025;;2;566056;6
Kaolack;;2026;;2;565810;6
Kaolack;;2027;;2;563452;6
Kaolack;;2028;;2;559763;6
Kaolack;;2029;;2;554861;6
Kaolack;;2030;;2;547321;6
Kolda;;2020;;2;929735;8
Kolda;;2021;;2;933491;8
Kolda;;2022;;2;936827;8
Kolda;;2023;;2;940082;8
Kolda;;2024;;2;942440;8
Kolda;;2025;;2;943319;8
Kolda;;2026;;2;941135;8
Kolda;;2027;;2;935461;8
Kolda;;2028;;2;927396;8
Kolda;;2029;;2;916870;8
Kolda;;2030;;2;903266;8
;;2020;;35;477978;38
;;2021;;36;474754;39
;;2022;;38;474467;41
;;2023;;38;478920;41
;;2024;;39;483399;42
;;2025;;40;486438;43
;;2026;;42;489240;45
;;2027;;43;493232;46
;;2028;;44;497055;47
;;2029;;45;500335;48
;;2030;;47;503426;50
SENEGAL;;2020;;35;477978;38
SENEGAL;;2021;;36;474754;39
SENEGAL;;2022;;38;474467;41
SENEGAL;;2023;;38;478920;41
SENEGAL;;2024;;39;483399;42
SENEGAL;;2025;;40;486438;43
SENEGAL;;2026;;42;489240;45
