id;indicateur;region;sexe;Unit;Date;Value
1;Nombre de la population;DAKAR;Ensemble;personnes;2013;3137196
2;Nombre de la population;DAKAR;Ensemble;personnes;2014;3233460
3;Nombre de la population;DAKAR;Ensemble;personnes;2015;3330694
4;Nombre de la population;DAKAR;Ensemble;personnes;2016;3429375
5;Nombre de la population;DAKAR;Ensemble;personnes;2017;3529304
6;Nombre de la population;DAKAR;Ensemble;personnes;2018;3630323
7;Nombre de la population;DAKAR;Ensemble;personnes;2019;3732282
8;Nombre de la population;DAKAR;Ensemble;personnes;2020;3835011
9;Nombre de la population;DAKAR;Ensemble;personnes;2021;3938358
10;Nombre de la population;DAKAR;Ensemble;personnes;2022;4042235
11;Nombre de la population;DAKAR;Ensemble;personnes;2023;4146594
12;Nombre de la population;DAKAR;Ensemble;personnes;2024;4251430
13;Nombre de la population;DAKAR;Ensemble;personnes;2025;4356700
14;Nombre de la population;DIOURBEL;Ensemble;personnes;2013;1497455
15;Nombre de la population;DIOURBEL;Ensemble;personnes;2014;1543647
16;Nombre de la population;DIOURBEL;Ensemble;personnes;2015;1591593
17;Nombre de la population;DIOURBEL;Ensemble;personnes;2016;1641349
18;Nombre de la population;DIOURBEL;Ensemble;personnes;2017;1692969
19;Nombre de la population;DIOURBEL;Ensemble;personnes;2018;1746492
20;Nombre de la population;DIOURBEL;Ensemble;personnes;2019;1801999
21;Nombre de la population;DIOURBEL;Ensemble;personnes;2020;1859503
22;Nombre de la population;DIOURBEL;Ensemble;personnes;2021;1919090
23;Nombre de la population;DIOURBEL;Ensemble;personnes;2022;1980831
24;Nombre de la population;DIOURBEL;Ensemble;personnes;2023;2044773
25;Nombre de la population;DIOURBEL;Ensemble;personnes;2024;2111013
26;Nombre de la population;DIOURBEL;Ensemble;personnes;2025;2179598
27;Nombre de la population;FATICK;Ensemble;personnes;2013;714392
28;Nombre de la population;FATICK;Ensemble;personnes;2014;737487
29;Nombre de la population;FATICK;Ensemble;personnes;2015;761713
30;Nombre de la population;FATICK;Ensemble;personnes;2016;787036
31;Nombre de la population;FATICK;Ensemble;personnes;2017;813544
32;Nombre de la population;FATICK;Ensemble;personnes;2018;841298
33;Nombre de la population;FATICK;Ensemble;personnes;2019;870361
34;Nombre de la population;FATICK;Ensemble;personnes;2020;900800
35;Nombre de la population;FATICK;Ensemble;personnes;2021;932629
