id;region;unit;annee;pop_value;nb_str;couv_san;norm_oms;ajouter;pred
1;Dakar;;2020;;14;255314;16;2;
2;Dakar;;2021;;15;253291;17;2;
3;Dakar;;2022;;15;250875;17;2;
4;Dakar;;2023;;16;250827;18;2;
5;Dakar;;2024;;16;250766;18;2;
6;Dakar;;2025;;17;250522;19;2;4453892.273692801
7;Dakar;;2026;;17;250450;19;2;4526840.320064
8;Dakar;;2027;;18;250450;20;2;4595922.050953601
9;Dakar;;2028;;18;250290;20;2;4660246.3747888
10;Dakar;;2029;;19;249932;21;2;4719030.2480512
11;Dakar;;2030;;20;249922;22;2;4771184.2878176
12;Diourbel;;2020;;4;304394;6;2;
13;Diourbel;;2021;;4;310018;6;2;
14;Diourbel;;2022;;4;316541;6;2;
15;Diourbel;;2023;;4;302484;6;2;
16;Diourbel;;2024;;4;287183;6;2;
17;Diourbel;;2025;;5;270388;7;2;2067013.9336721902
18;Diourbel;;2026;;5;252409;7;2;2086563.8314449803
19;Diourbel;;2027;;5;231461;7;2;2101002.7386831203
20;Diourbel;;2028;;5;208324;6;1;2108660.1485724803
21;Diourbel;;2029;;5;182887;6;1;2108095.9071686002
22;Diourbel;;2030;;6;152396;7;1;2098669.5776945003
23;Fatick;;2020;;2;618378;6;4;
24;Fatick;;2021;;2;639653;6;4;
25;Fatick;;2022;;2;637431;6;4;
26;Fatick;;2023;;2;635289;6;4;
27;Fatick;;2024;;2;630346;6;4;
28;Fatick;;2025;;2;657350;6;4;1045712.8383323
29;Fatick;;2026;;2;685464;7;5;1061147.7574634
30;Fatick;;2027;;3;683490;8;5;1074360.6792968002
31;Fatick;;2028;;3;679421;8;5;1084609.4846267
32;Fatick;;2029;;3;673793;7;4;1091249.8551371
33;Fatick;;2030;;3;665145;7;4;1093862.5154585
122;Kaffrine;;2021;;1;310019;3;2;
123;Kaffrine;;2022;;1;316541;3;2;
124;Kaffrine;;2023;;2;302484;4;2;
125;Kaffrine;;2024;;2;287183;4;2;
